2026-07-29 21:44:36,213 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/cong-ty-thanh-vien-scic-dang-ky-mua-1-trieu-co-phieu-fpt-20200401161802111.chn
2026-07-29 21:44:40,198 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/cac-quy-ngoai-lien-tuc-trao-tay-luong-lon-co-phieu-fpt-20191228082431045.chn
2026-07-29 21:44:42,148 | INFO | ticker=FPT | source=cafef | accepted | score=6.0 | url=https://cafef.vn/tundra-tang-nam-giu-tien-mat-giam-ty-trong-co-phieu-fpt-trong-thang-5-20190607115405599.chn
2026-07-29 21:44:46,870 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/khoi-ngoai-mua-15-trieu-co-phieu-fpt-ngay-khi-ho-room-do-phat-hanh-esop-20190507093624187.chn
2026-07-29 21:44:51,845 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/quy-vof-thuoc-vinacapital-vua-chuyen-nhuong-1-trieu-co-phieu-fpt-va-pnj-20190314174342117.chn
2026-07-29 21:44:54,267 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/nhom-vinacapital-vua-ban-ra-gan-4-trieu-co-phieu-fpt-20190217091841593.chn
2026-07-29 21:44:57,366 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/quy-ngoai-vua-trao-tay-4-trieu-co-phieu-fpt-tri-gia-khoang-172-ty-dong-20181123164106559.chn
2026-07-29 21:45:01,803 | INFO | ticker=FPT | source=cafef | rejected | score=8.0 | url=https://cafef.vn/gan-76-trieu-co-phieu-fpt-gia-tri-khoang-335-ty-dong-vua-duoc-trao-tay-20180831224601711.chn
2026-07-29 21:45:05,850 | INFO | ticker=FPT | source=cafef | accepted | score=12.0 | url=https://cafef.vn/khoi-ngoai-chi-tram-ty-mua-co-phieu-fpt-retail-frt-trong-phien-chao-san-20180426101030431.chn
2026-07-29 21:45:09,598 | INFO | ticker=FPT | source=cafef | rejected | score=9.0 | url=https://cafef.vn/nhom-co-dong-dragon-capital-ban-500000-co-phieu-fpt-truoc-ke-hoach-kinh-doanh-sut-giam-nam-2018-2018031222084893.chn
2026-07-29 21:45:13,547 | INFO | ticker=FPT | source=cafef | accepted | score=13.0 | url=https://cafef.vn/so-co-phieu-fpt-tri-gia-khoang-240-ty-dong-vua-duoc-cac-quy-ngoai-trao-tay-20180122183159864.chn
